proof_id,shipment_id,order_id,recipient_type,signed_at,note
POD-004,SHP-004,ORD-004,front_desk,2026-08-24T14:05:00Z,合成前台代收记录
POD-005,SHP-005,ORD-005,本人签收,2026-08-14T14:05:00Z,合成签收记录
POD-006,SHP-006,ORD-006,self,2026-08-16T15:00:00Z,合成本人签收记录
POD-007,SHP-007,ORD-007,family,2026-08-20T14:05:00Z,合成家庭成员签收记录
POD-008,SHP-008,ORD-008,collection_point,2026-08-23T14:05:00Z,合成代收点记录
POD-009,SHP-009,ORD-009,locker,2026-08-13T14:05:00Z,合成快递柜记录
POD-010,SHP-010,ORD-010,self,2026-08-16T14:05:00Z,合成本人签收记录
POD-011,SHP-011,ORD-011,本人签收,2026-08-19T14:05:00Z,合成签收记录
POD-012,SHP-012,ORD-012,本人签收,2026-08-22T14:05:00Z,合成签收记录
POD-013,SHP-013,ORD-013,本人签收,2026-08-12T14:05:00Z,合成签收记录
POD-014,SHP-014,ORD-014,本人签收,2026-08-15T14:05:00Z,合成签收记录
POD-015,SHP-015,ORD-015,本人签收,2026-08-17T15:00:00Z,合成签收记录
POD-016,SHP-016,ORD-016,本人签收,2026-08-21T14:05:00Z,合成签收记录
POD-017,SHP-017,ORD-017,本人签收,2026-08-24T14:05:00Z,合成签收记录
